& al.	et al.
burlaw	byrlaw
billyo	billy-oh
baby-sitter	babysitter
bridge and tunnel	bridge-and-tunnel
Bodhisattwa	bodhisattva
beluine	belluine
ballboy	ball boy
boggart	boggard
Beatle-esque	Beatlesque
beaufin	biffin
bovrilise	bovrilize
bagna càuda	bagna cauda
bathchair	Bath chair
black-and-white	black and white
back-handed compliment	backhanded compliment
banana-bender	banana bender
body weight	bodyweight
big ass	big-ass
bise	bice
bloody-warrior	bloody warrior
boxwalla	boxwallah
baptisand	baptizand
braincell	brain cell
bicornate	bicornuate
birds' mouths	birdsmouths
brah	bra
brassey	brassie
bannat	banat
bigleague	big-league
blockmodel	block model
Boodhistic	Buddhistic
bare-skin	bareskin
bacteriovore	bacterivore
brain-cramp	brain cramp
bas-relief	bas relief
bennah	benna
bellrope	bell rope
bitch-whore	bitchwhore
blackleggism	blacklegism
birefringency	birefringence
boku	beaucoup}}
Boxing Week	boxing week
boogerman	bogeyman
BBQ'd	BBQed}}
bird's mouth	birdsmouth
bride-price	bride price
bio break	bio-break
beastings	beestings
barfolicious	barfalicious
broom-rape	broomrape
binman	bin man
babbitry	babbittry
brode	broddle
bogmoss	bog moss
behovable	behoovable
blahdy blah	blah blah blah
blue-blood	blue blood
braindead	brain-dead
birth chair	birthing chair
begedkefet	begadkefat
burgraf	burgrave
bonemeal	bone meal
brandrith	brandreth
brum	brrm
brocatello	brocatel
bridemaid	bridesmaid
bricks and mortar	brick and mortar
back stairs	backstairs
basnet	bascinet
bodycheck	body check
B-roll	B roll}}
brother in law	brother-in-law
buckeroo	buckaroo
black aurorae	black auroras}}
B-cell	B cell
betaglobin	beta globin
bath water	bathwater
bigun	biggun}}
blow-buddy	blowbuddy
bacteraemic	bacteremic
bad-boy	bad boy
blastocele	blastocoele
bummaloti	bummalo
biquark	diquark}}
burrhole	burr hole
byotch	bioch
beewolf	bee wolf
barium sulfate	barium sulphate
big-tent	big tent
beigy	beigey
bacteruria	bacteriuria
blue baller	blue-baller
bassboat	bass boat
butler cafe	butler café
body-con	bodycon
bhaang	bhang
basecamp	base camp
brushoff	brush-off
buret	burette
biocolorant	biocolourant
bazuko	basuco
blow dryer	blow-dryer
brassart	brassard
bukshish	baksheesh
Buddha dharma	Buddha-dharma
boddhisattva	bodhisattva
bachfisch	backfisch
bootscaning	bootscanning
butt ugly	butt-ugly
behavioral pattern	behavioural pattern
battleax	battleaxe
build-up	buildup
basket work	basketwork
break dance	breakdance
Bigfoot	bigfoot
biassing	biasing
big boned	big-boned
broadus	brotus
brantle	branle
bloodynoun	bloody noun
barege	barège
buncombe	bunkum
Beroean	Berean
Baudelairian	Baudelairean
battle royale	battle royal
Brown's syndrome	Brown syndrome
bottle-opener	bottle opener
blow-off	blowoff
blonde	blond
baby sitter	babysitter
Breughelian	Brueghelian
briery	briary
bleomycine	bleomycin
bejaysus	bejesus
bugeyes	bug eyes
base jumping	BASE jumping
banjo mandolin	banjo-mandolin
berline	berlin
B.A.S.E. jumping	BASE jumping
boxelder	box elder
blink-and-you'll-miss-it	blink-and-you-miss-it
bottoné	bottony
basturma	pastirma
bigtime	big time
brothel-house	brothel house}}
bahooie	bahooey
broodnest	brood nest
bilinearise	bilinearize
beeyotch	biatch
belly-wahk	bellywark
burgomeister	burgomaster
back-stabby	backstabby
bungy rope	bungee rope
bimetalism	bimetallism
blatino	Blatino
blue-stocking	bluestocking
beach head	beachhead
battik	batik
bourbon whiskey	bourbon
blow smoke up someone's ass	blow smoke
bet a dollar to a donut	bet a dollar to a doughnut
blind-side	blindside
birlaw	byrlaw
body-building	bodybuilding
Beatlesmania	Beatlemania
britzska	britchka
bureaucratie	bureaucracy
behavioureme	behavioreme
bilirubinaemia	bilirubinemia
Bangalee	Bengali
bouginage	bougienage
bzzzt	bzzt
bread-basket	breadbasket
Belarusan	Belarusian
bolti	bolty
ballbuster	ball-buster
boom-house	boomhouse
betwaddled	betwattled
brittly	brittlely
bucksome	buxom
bellhopper	bell hopper}}
brush-tailed possum	brushtail possum
brasiery	braziery
Beotian	Boeotian
back labour	back labor
baudekin	baldacchin
boddhisatva	bodhisattva
boat-hook	boathook
bellyring	belly ring
bethanidine	betanidine
bordeaux	Bordeaux
bell end	bell-end
button up one's lip	button one's lip
barn star	barnstar
business-as-usual	business as usual
ball-point pen	ballpoint pen
beauxite	bauxite
bowling-green	bowling green
bull headed	bullheaded
bok choi	bok choy
backy	baccy
breast feed	breastfeed
bromsulfthalein	bromsulphthalein
bromeligen	bromeligenous
bhajji	bhaji
butter face	butterface
brown shirt	Brownshirt
basophyl	basophil
bogey man	bogeyman
backshish	baksheesh
biestings	beestings
businessowner	business owner}}
batchelor's fare	bachelor's fare
blastor	blaster
blue-sky	blue-skies
brown out	brownout
bird feeder	birdfeeder
back-to-basics	back to basics
bean bag	beanbag
bilection	bolection
bulldyker	bulldiker
brokenhanded	broken-handed
bimoric	bimoraic
bitslice	bit slice
bindhi	bindi
banjulele	banjolele
bestselling	best-selling
baftah	bafta
bezil	bezel
Bornouese	Bornuese
browze	browse
Bolgar	Bulgar
bioturbed	bioturbated
blethering	blathering
benzothiazide	benzthiazide
bully-boy	bully boy
bezzant	bezant
Babee	Babi
bead-tree	bead tree
bulgar	bulgur
bromhidrosis	bromidrosis
bitchen	bitching
biggety	biggity
bornous	burnoose
blacklead	black lead
bacchanale	bacchanal
benzocyclohexanone	tetralone
black sanctis	black sanctus
badtempered	bad-tempered
break fast	breakfast
bootie	bootee
boardgame	board game
between times	betweentimes
back-cross	back cross
bolt out of the blue	bolt from the blue
back-comb	backcomb
bastourma	pastirma
bardy	bardie#Etymology 3
body slam	bodyslam
bounge	bung
buhrstone	burrstone
baal kore	baal korei
Bancroftian	bancroftian
bitchin'	bitching
bloodloss	blood loss
boschbok	bushbuck
brevotoxin	brevetoxin
back story	backstory
B. Eng.	B.Eng.
boy-friend	boyfriend
baklawah	baklava
belacan	belachan
back shell	backshell
birdiesit	birdysit
book-knowledge	book knowledge}}
bottlenosed dolphin	bottlenose dolphin
blackfellah	blackfellow
bitty	bittie
benzperidol	benperidol
back biters	backbiter
bow-chica-wow-wow	bow chicka wow wow
beef-house	beefhouse
blood bath	bloodbath
beesting	bee sting
barbarization	barbarisation
bird-dog	bird dog
bean-feast	beanfeast
bikathon	bikeathon
bootloader	boot loader
benzoazocine	benzazocine
bumper-sticker	bumper sticker
backare	baccare
balefull	baleful
bourqa	burka
bootcut	boot cut}}
bistered	bistred
benztropine	benzatropine
book worm	bookworm
beamsteering	beam steering}}
bet a dime to a dollar	bet a dollar to a dime
Bismarck	bismarck
bituminise	bituminize
basonym	basionym
boatshed	boat shed
battleship-grey	battleship grey
bar fly	barfly
beats one's swords into plowshares	beats one's swords into ploughshares
basket weave	basketweave
baby-step	baby step}}
butterknives	butter knives
bathyscaph	bathyscaphe
bulldike	bulldyke
birch wood	birchwood
baby-talk	babytalk
bhaaji	bhaji
broad across the beam	broad in the beam
bivariated	bivariate
buy in	buy-in
braggle	broggle
blueblooded	blue-blooded
bister	bistre
bokchoi	bok choy
big head	bighead
buy woof tickets	sell wolf tickets
boart	bort
brineshrimp	brine shrimp
babyrussa	babyroussa
bami	bammy
bardolater	bardolator
brant goose	brent goose
blimbing	bilimbi
brusk	brusque
bowdleriser	bowdlerizer
babariga	babanriga
baguet	baguette
bashlik	bashlyk
Balkanise	Balkanize
by-law	bylaw
biotherapeutical	biotherapeutic
blow-out	blowout
bhajia	bhaji
bodysnatcher	body snatcher
blank cheque	blank check
biphosphatase	bisphosphatase
bridon	bridoon
Bumfuck, Nowhere	bumfuck nowhere
bed-wetter	bedwetter
boy-crazy	boy crazy
borable	boreable
blurr	blur
breakman	brakeman
barish	bareish
breadmaker	bread maker
biznatch	bitch
blindgrass	blind grass
big ole	big old
BUMP	bump
babyfood	baby food
brain-gain	brain gain
back-bench	backbench
buffoonry	buffoonery
box-standard	box standard
behoove	behove
bobbysox	bobby socks
back-stretch	backstretch
bootdisk	boot disk
bibliolatrist	bibliolater
boult	bolt
brachypteran	brachypterous
back-bencher	backbencher
brick phone	bricked phone}}
bronze medallist	bronze medalist
britzka	britchka
Babiism	Babism
back-stretches	backstretches
BBQ sauce	barbecue sauce}}
barber's pole	barber pole
be onto	be on to}}
bump on the road	bump in the road
baby-sitting	babysitting
belieber	Belieber
butcherblock	butcher block
bibimbop	bibimbap
bipectinated	bipectinate
bombed-out	bombed out
bawdyhouse	bawdy-house
brasset	brassard
better-off	better off
bull ring	bullring
bedright	bedrite
bakeoff	bake-off
bifibacterium	bifidobacterium
beggar-thy-neighbour	beggar-thy-neighbor
broken-hearted	brokenhearted
Beluga	beluga
Bosniacization	Bosniakization
barrellage	barrelage
baraesthesiometer	baresthesiometer
beglamor	beglamour
badboy	bad boy
ballbreaker	ball-breaker
bodycolour	bodycolor
berling	birlinn
bollox	bollocks
beena	beenah
bethroot	birthroot
black-heartedness	blackheartedness
back-hand	backhand
Bobbittise	Bobbittize
bosonisation	bosonization
bee-utiful	beautiful
bat an eyelash	bat an eyelid
b-girl	B-girl
Boodhism	Buddhism
bad-mouth	badmouth
bankassurance	bancassurance
bassackwards	bass-ackwards
battleship-gray	battleship grey
blood-soaked	bloodsoaked
bacteremia	bacteraemia
blackhearted	black-hearted
bar-b-que	barbecue
bow-chicka-bow-wow	bow chicka wow wow
back-handedness	backhandedness
ballahou	ballahoo
biosulphur	biosulfur
boychek	boychik
bloodworm	blood worm
bolix	bollix
buy-back	buyback
Buffalypso	buffalypso
bolshy	bolshie
brazilianisation	Brazilianization
beam-steering	beam steering}}
buttie	butty
bird watcher	birdwatcher
baritone	barytone
banddom	bandom
back-and-forth	back and forth
birdtable	bird table
batcha	bacha
back room	backroom}}
bunjaree	banjari
bebinka	bebinca
burke	berk
bottommost	bottom-most
bio-mechanical	biomechanical
barrathea	barathea
burqaed	burkaed
bizzy	bizzie}}
bromosulfthalein	bromsulphthalein
beatch	biatch
built in	built-in}}
black humour	black humor
buxina	buxine
bunyon	bunion
bupkes	bupkis
biomom	biomother
Berkeleyan	Berkeleian
billicock	billycock
bow chica wow wow	bow chicka wow wow
base-on-balls	base on balls
back-channel	backchannel
bed-ridden	bedridden
buck rabbit	buck rarebit
bromsulphalein	bromsulphthalein
bromthymol	bromothymol
bloggish	blogish
bookstave	bookstaff
box-turtle	box turtle
bottle-nose dolphin	bottlenose dolphin
bonge	bung
beya	heya
Bahai	Bahá'í
bob-skate	bobskate}}
basan	basil
bluelink	blue link
barrelchested	barrel-chested
baal koreh	baal korei
bibliotherapeutical	bibliotherapeutic
bilimbing	bilimbi
bench warmer	bench-warmer
black cuckoo-shrike	black cuckooshrike
blackbelt	black belt
boybits	boy bits
back-bone	backbone
benzoyloxycarbonyldipeptidyl	calpeptin
Black Forest gateau	Black Forest gâteau
black santos	black sanctus
bipodal	bipedal
Big Pharma	big pharma
big whoop	big woop
bur	burr
beancurd	bean curd
breathalizer	breathalyzer
buttlover	butt lover
browseability	browsability
backfire	back fire
battle-axe	battle axe
bretch	breach
built up	built-up
brainstem	brain stem
builtin	built in
brimstoney	brimstony
blood-wit	blood-wite
bobwig	bob wig
bull-like	bulllike
buffalograss	buffalo grass
ballottable	ballotable
belye	belie
boccie	bocce
bacteriemic	bacteremic
betablocker	beta blocker
Bengalee	Bengali
back-stabbing	backstabbing
beautifullest	beautifulest
biangulated	biangulate
bebeerin	bebeerine
bdna	bDNA
ballycater	ballicater
boltrope	bolt rope
bed-jacket	bedjacket
bank-and-turn indicator	turn-and-bank indicator
beigel	bagel
budmash	badmash
blue sky	blue-sky
barquette mold	barquette mould
bauffing	boffing
Bungee	Bungi
bunko	bunco
bellydancer	belly dancer
blinny	blini
beltloop	belt loop
boltel	boultel
butter my butt and call it a biscuit	butter my butt and call me a biscuit
bike shed	bikeshed
basketstar	basket star
batteling	battling
bridegoom	bridegroom
buzz-saw	buzz saw
böhmite	boehmite
bet din	beth din
bumrush	bum-rush
buniah	bunniah
bling	bling bling
bugout	bug out
Blavatskyan	Blavatskian
brushcut	brush cut
babygrow	babygro
by the living jingo	by jingo
bonar	bona
backstraight	back straight
babykisser	baby-kisser
Bacchic	bacchic
bring around	bring round
blackletter	black letter
borsht	borscht
bombazed	bumbazed
bootilicious	bootylicious
birth date	birthdate}}
breast strap	breaststrap
blueish	bluish
baboushka	babushka
billiphyte	biliphyte
box-canyon	box canyon
betwaddle	betwattle
birlie	byrlaw
bean cake	beancake
baryte	barite
boxspring	box spring
babel	Babel
breakbulk	break-bulk
brezilin	brazilin
bejeezus	bejesus
bally-wartch	bellywark
biriani	biryani
bonedry	bone-dry
bimetalist	bimetallist
barley-water	barley water
bow guard	bow-guard
boom house	boomhouse
bat shit	batshit
bowenoid	Bowenoid
bridal wear	bridalwear
Barnumise	Barnumize
Broonite	Brownite
bosting	bostin
boxplot	box plot
bucket-head	bucket head
bunjy	bungee
barbarise	barbarize
Bethlemite	Bethlehemite
baby's bottle	baby bottle
brackett	bragget
bunfight	bun fight
brush fire	brushfire
Baroque pop	baroque pop
biosynthesise	biosynthesize
bonewax	bone wax
body-part	body part
brick-a-brack	bric-a-brac
bluenosed	blue-nosed
Bruegelian	Brueghelian
Beguard	Beghard
back on to	back onto
bitchslap	bitch slap
bleedthrough	bleed-through
butle	buttle
basioapical	basiapical
break-up	breakup
breakroom	break room
box-spring	box spring
Bubba	bubba
bushpig	bush pig
boil-in-the-bag	boil-in-bag
bio-informatics	bioinformatics
bâton	baton
black bag	black-bag
boulti	bolty
bitchhound	bitch hound
basilisc	basilisk
bicolored	bicoloured
black-out	blackout
big-sky thinking	blue-sky thinking
bed-check	bed check
bigger-than-life	larger than life
banker's draught	banker's draft
biopathologic	biopathological
balsamical	balsamic
bagass	bagasse
bald earn	bald erne
backroad	back road
bounteth	bountith
bar hop	barhop
bronchiogenic	bronchogenic
black swallowwort	black swallow-wort}}
byte code	bytecode
bogyman	bogeyman
be in the pocket of someone	in someone's pocket
bronchiocentric	bronchocentric
balche	balché
blastocidin	blasticidin
beet root	beetroot
bembe	bemba
bed-bath	bedbath
Bisquick	bisquick
bar spin	barspin
big-hearted	bighearted
butanedioate	malathion
boconcini	bocconcini
boilersuit	boiler suit
black auroras	black aurorae}}
battleaxe	battle axe
blargh	blarg
betroth'd	betrothed
bolline	boline
blowzy	blowsy
brownnoser	brown noser
book-lung	book lung
bellettrist	belletrist
butt breath	buttbreath
begadkephat	begadkefat
backseat	back seat
band saw	bandsaw
bombies	bombsies
bolin	bowline
barbituate	barbiturate
baby-jumper	baby jumper
baclava	baklava
buzz word	buzzword
bley	blay
bombazin	bombazine
burriko	burikko
bat one's eyelashes	bat one's eyes
blastodisc	blastodisk
bio-sedimentary	biosedimentary
Baduanjin	Ba Duan Jin
bleve	belive
bar-be-que	barbecue
bargain-basement	bargain basement
boompipe	boom pipe
berme	berm
blood-tax	blood tax
belly-aching	bellyaching
back burn	backburn
brightfield	bright field
bearnaise sauce	béarnaise sauce
bouzing-ken	bousing ken
babyccino	babycino
battlecruiser	battle-cruiser
boltcutter	bolt cutter
bebirine	bebeerine
bourka	burka
bear's garlic	bear garlic
botanise	botanize
bukshee	bukshi
berzerk	berserk
buckshish	baksheesh
blench holding	blanch holding
backdoor	back door
bek	bey
barcarolle	barcarole
Bolğar	Bulgar
bondlength	bond length
b sharp	B-sharp
bassbar	bass bar
burqua	burka
blog roll	blogroll
billetting	billeting
brideprice	bride price
bollocksology	bolloxology
boiar	boyar
binarise	binarize
butt naked	butt-naked
back-up	backup
Bisrock	bisrock
buhlwork	buhl work
bakability	bakeability
bawdrick	baldrick
brain-bucket	brain bucket
board shorts	boardshorts
bloode	blood
back-cloth	backcloth
brow'd	browed
bolshevik	Bolshevik
bob skate	bobskate}}
by-poll	bypoll
biopsychical	biopsychic
ballclay	ball clay
biomimetical	biomimetic
ball-pein hammer	ball-peen hammer
back scratcher	backscratcher
Bungy	Bungi
birimbao	berimbau
bodaboda	boda-boda
baptistery	baptistry
bodybag	body bag
bitch slap	bitch-slap
baby T	baby tee
boshbok	bushbuck
Brannock Device	Brannock device
belov'd	beloved
baby momma	baby mama
butt load	buttload
bikeable	bikable
blood lust	bloodlust
bioarchaeologist	bioarcheologist
brasilein	brazilein
burst into flames	burst into flame
baldachin	baldacchin
bellend	bell-end
barberpole	barber pole
butter-fats	butterfats
bezazz	pizzazz
bashibazouk	bashi-bazouk
besayle	besaiel
brandlin	brandling
bruvva	bruvver
bleeding-edge	bleeding edge
birdy	birdie
betacarotene	beta-carotene
bangsring	banxring
brush-pen	brush pen
buckethead	bucket head
blackcurrant	black currant
bronco-buster	broncobuster
bar-b-ques	barbecues
bookoo	beaucoup
black-currant	black currant
barkhan	barchan
bekah	beka
book shop	bookshop
bioarcheological	bioarchaeological
B♭	B-flat
beat the daylight out of	beat the daylights out of
bell-wether	bellwether
byrl	birle
Babbitt	babbitt
b flat	B-flat
bassackward	bass-ackwards
basilick	basilic
barrelling	barreling
broadax	broadaxe
bearhug	bear hug
binaryness	binariness
babydoll	baby doll
backpass	back pass
bottomfeeder	bottom feeder
bufotenin	bufotenine
beak-head	beakhead
butt and ben	but and ben
bi-weekly	biweekly
bhiksuni	bhikkhuni
belovèd	beloved
backend	back end
benchwarmer	bench-warmer
brickette	briquet
bodihood	bodyhood
bushrat	bush rat
blue-water	blue water
bayadeer	bayadère
bird-nest	birdnest}}
boltsprit	bowsprit
blowsalinda	blowsabella
bear's-breech	bear's breech
breathalyser	breathalyzer
beglerbeg	beylerbey}}
bandoura	bandura
bloomary	bloomery
ba dum tish	ba-dum ching
boundarilessness	boundarylessness
bed-frame	bedframe
baugh	bah
basitarsomere	basotarsomere
bitch-slap	bitch slap
beldam	beldame
bitrot	bit rot
backdraught	backdraft
Badjao	Bajau}}
bloodthirsting	bloodthirsty
bureaucratisation	bureaucratization
blameably	blamably
box of birds	box of fluffy ducks
bayila	baila
boogieman	bogeyman
bananacue	banana cue
bill-hook	billhook
balmorality	Balmorality
blastule	blastula
back to the old drawing board	back to the drawing board}}
bandwaggon	bandwagon
ballflower	ball flower
back stretches	backstretches
